profile,nfe,metric,effect,arithmetic_definition,log_definition,n,per_seed_deltas_json,mean_delta,sample_sd_delta,ci95_low_delta,ci95_high_delta,negative_wins,positive_losses,ties,wins_of_3,per_seed_log_contrasts_json,mean_log_contrast,sample_sd_log_contrast,ci95_low_log_contrast,ci95_high_log_contrast,geometric_relative_percent,geometric_relative_ci95_low_percent,geometric_relative_ci95_high_percent
conservative,1,kid5k_full,global_at_local0,global - fixed,log(global / fixed),3,"[-0.17631381750106812,-0.006878465414047241,-0.012379467487335205]",-0.06519058346748352,0.0962748415346122,-0.30435054636279757,0.1739693794278305,3,0,0,3/3,"[-0.6237718181868407,-0.022068773270998765,-0.029086874894311165]",-0.22497582211738354,0.3453852896380673,-1.0829604392588277,0.6330087950240606,-20.146447457582227,-66.14083396070781,88.32684320236659
conservative,1,kid5k_full,global_at_local1,combined - local,log(combined / local),3,"[-0.20678012073040009,0.008988350629806519,-0.01187923550605774]",-0.0698903352022171,0.1190082941405698,-0.3655233246438126,0.2257426542393784,2,1,0,2/3,"[-0.778020044806337,0.028186869631745326,-0.027850648560086233]",-0.2592279412448926,0.45015995590407226,-1.3774872562941798,0.8590313738043946,-22.83528872076434,-74.77884996303682,136.08727825976464
conservative,1,kid5k_full,local_at_global0,local - fixed,log(local / fixed),3,"[0.002520143985748291,-0.0007238090038299561,0.0006777644157409668]",0.0008246997992197672,0.0016269604343182283,-0.003216893943251395,0.00486629354169093,1,2,0,1/3,"[0.006611441063651857,-0.002299463299568094,0.0015683119039039406]",0.0019600965559959014,0.004468352666567871,-0.009139906735677697,0.013060099847669501,0.196201880097373,-0.9098264752627552,1.3145755435677473
conservative,1,kid5k_full,local_at_global1,combined - global,log(combined / global),3,"[-0.02794615924358368,0.015143007040023804,0.0011779963970184326]",-0.0038750519355138144,0.021984518094383468,-0.058487622030826296,0.05073751815979866,1,2,0,1/3,"[-0.14763678555584447,0.047956179603176,0.002804538238128873]",-0.0322920225715132,0.10241083165575371,-0.2866946298202914,0.22211058467726502,-3.177620241169195,-24.925905226489686,24.87094583617998
conservative,1,kid5k_full,combined_vs_fixed,combined - fixed,log(combined / fixed),3,"[-0.2042599767446518,0.008264541625976562,-0.011201471090316772]",-0.06906563540299733,0.11748559001371427,-0.3609160181253869,0.22278474731939224,2,1,0,2/3,"[-0.7714086037426852,0.025887406332177232,-0.026282336656182292]",-0.25726784468889674,0.44602237680543805,-1.3652488435349832,0.8507131541571897,-22.683890106462773,-74.46828659357752,134.13159759054088
conservative,1,kid5k_full,additive_interaction,combined - global - local + fixed,log(combined * fixed / (global * local)),3,"[-0.03046630322933197,0.01586681604385376,0.0005002319812774658]",-0.0046997517347335815,0.023600198269948896,-0.06332589385654483,0.05392639038707767,1,2,0,1/3,"[-0.15424822661949633,0.05025564290274409,0.0012362263342249324]",-0.034252119127509105,0.10677090034321579,-0.2994857373537457,0.23098149909872748,-3.3672155809897344,-25.88007062022848,25.983593113343815
conservative,1,kid5k_full,global_main_effect,0.5 * [(global - fixed) + (combined - local)],0.5 * [log(global / fixed) + log(combined / local)],3,"[-0.1915469691157341,0.0010549426078796387,-0.012129351496696472]",-0.06754045933485031,0.10759492206320106,-0.33482106097685044,0.19974014230714981,2,1,0,2/3,"[-0.7008959314965888,0.0030590481803732805,-0.0284687617271987]",-0.24210188168113808,0.39763989463953275,-1.2298941328218223,0.7456903694595461,-21.502380121707244,-70.76764764906945,110.78961599068128
conservative,1,kid5k_full,local_main_effect,0.5 * [(local - fixed) + (combined - global)],0.5 * [log(local / fixed) + log(combined / global)],3,"[-0.012713007628917694,0.007209599018096924,0.0009278804063796997]",-0.0015251760681470234,0.010185316806723828,-0.02682690547891256,0.023776553342618516,1,2,0,1/3,"[-0.07051267224609631,0.02282835815180395,0.002186425071016407]",-0.01516596300775865,0.04903025614824734,-0.13696387048026157,0.10663194446474426,-1.505153897133963,-12.799826943327758,11.252470823909237
conservative,1,fid5k_full,global_at_local0,global - fixed,log(global / fixed),3,"[-136.0720630560961,-20.735001629500744,-8.265460909829983]",-55.02417519847561,70.46589569483916,-230.07116287597844,120.02281247902724,3,0,0,3/3,"[-0.5149115212079325,-0.06838441202896917,-0.02245678697285669]",-0.20191757340325278,0.27203169890215484,-0.8776817707652282,0.4738466239587227,-18.283771892782717,-58.42544110242851,60.61606215768715
conservative,1,fid5k_full,global_at_local1,combined - local,log(combined / local),3,"[-157.2247699510372,-6.330196617439356,-6.978257395835612]",-56.84440798810405,86.93254739480622,-272.7968258569239,159.10800988071574,3,0,0,3/3,"[-0.6223869580435428,-0.02040451936682075,-0.018924727157339838]",-0.22057206818923447,0.3479826888333934,-1.0850089825796456,0.6438648462011767,-19.7940166221177,-66.21012493213591,90.38246683934163
conservative,1,fid5k_full,local_at_global0,local - fixed,log(local / fixed),3,"[1.218410124618572,-0.28716424993297096,0.028770692421289823]",0.32000552236896357,0.7939155143701093,-1.6521899331853047,2.292200977923232,1,2,0,1/3,"[0.0035970907275544306,-0.0009158353538527564,7.729417554180884e-05]",0.0009195165164144944,0.0023714192602026546,-0.004971415457494824,0.006810448490323812,0.0919939401333097,-0.49590784243087066,0.683369233167741
conservative,1,fid5k_full,local_at_global1,combined - global,log(combined / global),3,"[-19.934296770322504,14.117640762128417,1.3159742064156603]",-1.5002272672594756,17.19976323917665,-44.226807467454485,41.226352932935534,1,2,0,1/3,"[-0.10387834610805591,0.04706405730829566,0.0036093539910586614]",-0.017734978269567197,0.07770191552989637,-0.2107572355780242,0.17528727903888983,-1.7578639130507474,-19.00293249216742,19.158848584158132
conservative,1,fid5k_full,combined_vs_fixed,combined - fixed,log(combined / fixed),3,"[-156.00635982641862,-6.6173608673723265,-6.949486703414323]",-56.524402465735086,86.15406233676613,-270.54295625721454,157.49415132574435,3,0,0,3/3,"[-0.6187898673159884,-0.021320354720673507,-0.01884743298179803]",-0.21965255167281997,0.34566526639164563,-1.0783326696214328,0.6390275662757928,-19.72023197778572,-65.98377841200883,89.46375737321092
conservative,1,fid5k_full,additive_interaction,combined - global - local + fixed,log(combined * fixed / (global * local)),3,"[-21.152706894941048,14.404805012061388,1.2872035139943705]",-1.8202327896284298,17.981275915239156,-46.48819808721807,42.84773250796122,1,2,0,1/3,"[-0.10747543683561034,0.047979892662148416,0.0035320598155168526]",-0.01865449478598169,0.0800672983878446,-0.2175526888139682,0.1802436992420048,-1.8481576601326253,-19.551478356877062,19.750915963956892
